[4/19/23 11:30AM] Norman used command ::ref | Player rights = PLAYER	
[4/23/23 04:27PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 04:28PM] Norman used command ::noble | Player rights = TORMENTED_DONATOR	
[4/23/23 04:28PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 04:29PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 04:31PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 04:31PM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/23/23 04:32PM] Norman used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/23/23 04:33PM] Norman used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/23/23 04:35PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 04:36PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 04:36PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 04:40PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 04:41PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 04:44PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 04:46PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 04:55PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 05:01PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 05:03PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 05:14PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 05:18PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 05:23PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 05:38PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 05:40PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 05:40PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 05:41PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 05:46PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 05:49PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 06:04PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 06:08PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 06:09PM] Norman used command ::vote | Player rights = TORMENTED_DONATOR	
[4/23/23 06:10PM] Norman used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/23/23 06:10PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 11:29PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 11:39PM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/23/23 11:39PM] Norman used command ::golden | Player rights = TORMENTED_DONATOR	
[4/23/23 11:39PM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/24/23 12:20AM] Norman used command ::vote | Player rights = TORMENTED_DONATOR	
[4/24/23 01:13AM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/24/23 01:13AM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/24/23 02:42AM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/24/23 04:05AM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/24/23 04:05AM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/24/23 04:15AM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/24/23 04:16AM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/24/23 04:31AM] Norman used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/24/23 04:32AM] Norman used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/24/23 04:34AM] Norman used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/24/23 04:51AM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/24/23 04:56AM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/24/23 05:04AM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/24/23 05:24AM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/24/23 05:24AM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/24/23 05:39AM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/24/23 05:49AM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/24/23 05:50AM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/24/23 06:53AM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/24/23 06:56AM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/24/23 07:49AM] Norman used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/24/23 08:10AM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/24/23 09:07AM] Norman used command ::wrckedyou | Player rights = TORMENTED_DONATOR	
[4/24/23 09:09AM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/24/23 09:12AM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/24/23 09:17AM] Norman used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/24/23 09:21AM] Norman used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/24/23 09:24AM] Norman used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/24/23 09:25AM] Norman used command ::golden | Player rights = TORMENTED_DONATOR	
[4/24/23 09:26AM] Norman used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/24/23 09:30AM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/24/23 09:32AM] Norman used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/24/23 09:33AM] Norman used command ::golden | Player rights = TORMENTED_DONATOR	
[4/24/23 09:37AM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/24/23 09:49AM] Norman used command ::guides | Player rights = TORMENTED_DONATOR	
[4/24/23 09:50AM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/24/23 09:56AM] Norman used command ::dropoff | Player rights = TORMENTED_DONATOR	
[4/24/23 10:02AM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/24/23 10:05AM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/24/23 10:12AM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/24/23 10:32AM] Norman used command ::dropon | Player rights = TORMENTED_DONATOR	
[4/24/23 11:17AM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/24/23 11:45AM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/24/23 11:49AM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/24/23 11:50AM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/24/23 11:54AM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/24/23 12:04PM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/24/23 01:04PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/24/23 01:04PM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/24/23 01:33PM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/24/23 01:34PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/24/23 01:36PM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/24/23 01:37PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/24/23 01:38PM] Norman used command ::items | Player rights = TORMENTED_DONATOR	
[4/24/23 01:39PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/24/23 01:40PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/24/23 01:41PM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/24/23 02:15PM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/24/23 03:18PM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/24/23 03:38PM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/24/23 03:38PM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/24/23 03:39PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/24/23 03:41PM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/24/23 04:20PM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/24/23 04:49PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/24/23 04:49PM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/24/23 04:49PM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/24/23 04:49PM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/24/23 04:49PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/24/23 04:51PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/24/23 04:55PM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
[4/24/23 05:06PM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/24/23 05:37PM] Norman used command ::afk | Player rights = TORMENTED_DONATOR	
[4/24/23 05:58PM] Norman used command ::bank | Player rights = TORMENTED_DONATOR	
[4/25/23 07:15AM] Norman used command ::pos | Player rights = TORMENTED_DONATOR	
