[4/18/23 12:25PM] Hc Pvm used command ::refer | Player rights = PLAYER	
[4/22/23 09:34AM] Hc Pvm used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:31AM] Hc Pvm used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:33AM] Hc Pvm used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:34AM] Hc Pvm used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:35AM] Hc Pvm used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:37AM] Hc Pvm used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:38AM] Hc Pvm used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:39AM] Hc Pvm used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:41AM] Hc Pvm used command ::home | Player rights = MYSTICAL_DONATOR	
[4/23/23 12:16PM] Hc Pvm used command ::maxhit | Player rights = MYSTICAL_DONATOR	
[4/23/23 12:17PM] Hc Pvm used command ::maxhit | Player rights = MYSTICAL_DONATOR	
[4/23/23 01:01PM] Hc Pvm used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/23/23 02:31PM] Hc Pvm used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/23/23 02:33PM] Hc Pvm used command ::mereum | Player rights = MYSTICAL_DONATOR	
[4/23/23 02:34PM] Hc Pvm used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/23/23 02:49PM] Hc Pvm used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:15PM] Hc Pvm used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:17PM] Hc Pvm used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:24PM] Hc Pvm used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:27PM] Hc Pvm used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:27PM] Hc Pvm used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:28PM] Hc Pvm used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:28PM] Hc Pvm used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:31PM] Hc Pvm used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:31PM] Hc Pvm used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:32PM] Hc Pvm used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/23/23 03:33PM] Hc Pvm used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/23/23 04:01PM] Hc Pvm used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/23/23 04:03PM] Hc Pvm used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/23/23 04:31PM] Hc Pvm used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/23/23 04:32PM] Hc Pvm used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/23/23 04:33PM] Hc Pvm used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/23/23 04:55PM] Hc Pvm used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/23/23 05:02PM] Hc Pvm used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/23/23 05:04PM] Hc Pvm used command ::home | Player rights = MYSTICAL_DONATOR	
[4/23/23 05:15PM] Hc Pvm used command ::vote | Player rights = MYSTICAL_DONATOR	
[4/23/23 05:20PM] Hc Pvm used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/23/23 05:27PM] Hc Pvm used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/23/23 05:33PM] Hc Pvm used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/23/23 05:36PM] Hc Pvm used command ::home | Player rights = MYSTICAL_DONATOR	
[4/23/23 05:37PM] Hc Pvm used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/23/23 05:46PM] Hc Pvm used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/23/23 06:31PM] Hc Pvm used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/23/23 07:31PM] Hc Pvm used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/23/23 07:32PM] Hc Pvm used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/23/23 07:33PM] Hc Pvm used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/23/23 08:02PM] Hc Pvm used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/23/23 08:17PM] Hc Pvm used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/23/23 08:18PM] Hc Pvm used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/23/23 08:31PM] Hc Pvm used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/23/23 08:39PM] Hc Pvm used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/23/23 08:40PM] Hc Pvm used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/24/23 09:17AM] Hc Pvm used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/24/23 09:21AM] Hc Pvm used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/24/23 09:23AM] Hc Pvm used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/24/23 09:25AM] Hc Pvm used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/24/23 09:26AM] Hc Pvm used command ::vote | Player rights = MYSTICAL_DONATOR	
[4/24/23 09:26AM] Hc Pvm used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/24/23 09:28AM] Hc Pvm used command ::reward1 all | Player rights = MYSTICAL_DONATOR	
[4/24/23 09:28AM] Hc Pvm used command ::voted | Player rights = MYSTICAL_DONATOR	
[4/24/23 09:29AM] Hc Pvm used command ::reward 1 all | Player rights = MYSTICAL_DONATOR	
[4/24/23 09:30AM] Hc Pvm used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/24/23 09:32AM] Hc Pvm used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/24/23 09:33AM] Hc Pvm used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/24/23 10:02AM] Hc Pvm used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/24/23 10:02PM] Hc Pvm used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/24/23 10:03PM] Hc Pvm used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/24/23 10:04PM] Hc Pvm used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/24/23 10:15PM] Hc Pvm used command ::vote | Player rights = MYSTICAL_DONATOR	
[4/25/23 08:57PM] Hc Pvm used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/25/23 09:00PM] Hc Pvm used command ::veigar | Player rights = MYSTICAL_DONATOR	
