[4/15/23 09:50AM] Saladin used command ::vote | Player rights = PLAYER	
[4/22/23 10:34AM] Saladin used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:35AM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:37AM] Saladin used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:38AM] Saladin used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:39AM] Saladin used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:07AM] Saladin used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:32AM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:33AM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:33AM] Saladin used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:34AM] Saladin used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/22/23 01:03PM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 01:47PM] Saladin used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/22/23 02:02PM] Saladin used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/22/23 02:33PM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 02:33PM] Saladin used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/22/23 02:34PM] Saladin used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/22/23 02:35PM] Saladin used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/22/23 02:50PM] Saladin used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/22/23 03:22PM] Saladin used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/22/23 03:23PM] Saladin used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/22/23 03:32PM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 03:34PM] Saladin used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/22/23 04:37PM] Saladin used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/22/23 04:38PM] Saladin used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/22/23 05:31PM] Saladin used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/22/23 05:32PM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 05:33PM] Saladin used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/22/23 05:34PM] Saladin used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/23/23 04:31AM] Saladin used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/23/23 04:34AM] Saladin used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/23/23 04:38AM] Saladin used command ::reward 1 | Player rights = MYSTICAL_DONATOR	
[4/23/23 04:38AM] Saladin used command ::reward 1 | Player rights = MYSTICAL_DONATOR	
[4/23/23 04:38AM] Saladin used command ::reward 1 all | Player rights = MYSTICAL_DONATOR	
[4/23/23 04:38AM] Saladin used command ::reward 1 | Player rights = MYSTICAL_DONATOR	
[4/23/23 06:29AM] Saladin used command ::reward 1 | Player rights = MYSTICAL_DONATOR	
[4/23/23 11:45AM] Saladin used command ::vboss | Player rights = MYSTICAL_DONATOR	
