[4/15/23 03:21PM] Esso used command ::vote | Player rights = PLAYER	
[4/25/23 01:13PM] Esso used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/25/23 01:16PM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 01:18PM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 01:23PM] Esso used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/25/23 01:31PM] Esso used command ::eigar | Player rights = CLERIC_DONATOR	
[4/25/23 01:31PM] Esso used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 01:32PM] Esso used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/25/23 01:33PM] Esso used command ::meruem | Player rights = CLERIC_DONATOR	
[4/25/23 01:34PM] Esso used command ::golden | Player rights = CLERIC_DONATOR	
[4/25/23 01:34PM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 01:36PM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 01:36PM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 01:36PM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 01:36PM] Esso used command ::pos | Player rights = CLERIC_DONATOR	
