[4/19/23 11:53AM] Army used command ::refer | Player rights = PLAYER	
[4/23/23 02:20AM] Army used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 02:32AM] Army used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/23/23 02:33AM] Army used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/23/23 02:34AM] Army used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/23/23 02:35AM] Army used command ::golden | Player rights = TORMENTED_DONATOR	
[4/23/23 09:58AM] Army used command ::golden | Player rights = TORMENTED_DONATOR	
[4/23/23 09:58AM] Army used command ::bank | Player rights = TORMENTED_DONATOR	
[4/23/23 09:58AM] Army used command ::bank | Player rights = TORMENTED_DONATOR	
[4/23/23 10:12AM] Army used command ::dropoff | Player rights = TORMENTED_DONATOR	
[4/23/23 10:25AM] Army used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/23/23 10:46AM] Army used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 10:53AM] Army used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/23/23 10:54AM] Army used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/23/23 10:55AM] Army used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/23/23 10:55AM] Army used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/23/23 10:59AM] Army used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 11:18AM] Army used command ::dropoff | Player rights = TORMENTED_DONATOR	
[4/23/23 11:38AM] Army used command ::dropoff | Player rights = TORMENTED_DONATOR	
[4/23/23 11:44AM] Army used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/23/23 11:47AM] Army used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/23/23 11:53AM] Army used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/23/23 11:54AM] Army used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/23/23 11:55AM] Army used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/23/23 11:55AM] Army used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/23/23 11:59AM] Army used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/23/23 11:59AM] Army used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/23/23 11:59AM] Army used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/23/23 12:00PM] Army used command ::golden | Player rights = TORMENTED_DONATOR	
[4/23/23 12:00PM] Army used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/23/23 12:05PM] Army used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/23/23 12:08PM] Army used command ::dropoff | Player rights = TORMENTED_DONATOR	
[4/23/23 12:31PM] Army used command ::veiar | Player rights = TORMENTED_DONATOR	
[4/23/23 12:31PM] Army used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/23/23 12:32PM] Army used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/23/23 12:33PM] Army used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/23/23 12:34PM] Army used command ::golden | Player rights = TORMENTED_DONATOR	
[4/23/23 12:36PM] Army used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/23/23 12:36PM] Army used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 12:38PM] Army used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 12:39PM] Army used command ::dropoff | Player rights = TORMENTED_DONATOR	
