[4/18/23 04:30PM] Lun4 used command ::teleport | Player rights = PLAYER	
[4/21/23 05:04PM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 05:04PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 05:14PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 05:32PM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 05:33PM] Lun4 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 05:34PM] Lun4 used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 05:34PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 05:35PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 06:02PM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 06:04PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 06:31PM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 06:33PM] Lun4 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 06:34PM] Lun4 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 06:35PM] Lun4 used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 06:36PM] Lun4 used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 06:39PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 06:40PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 06:41PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 06:41PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 06:45PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:00PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:01PM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 07:05PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 07:05PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:08PM] Lun4 used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/21/23 07:08PM] Lun4 used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/22/23 10:44AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 10:50AM] Lun4 used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/22/23 10:59AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 11:00AM] Lun4 used command ::vote | Player rights = CLERIC_DONATOR	
[4/22/23 11:02AM] Lun4 used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/22/23 11:02AM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 11:04AM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 11:06AM] Lun4 used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 11:08AM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 11:08AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 11:15AM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 11:33AM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 11:35AM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 11:55AM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 11:58AM] Lun4 used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 12:01PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 12:01PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 12:03PM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 12:04PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 12:07PM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 12:09PM] Lun4 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 12:11PM] Lun4 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 12:12PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 12:13PM] Lun4 used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 12:13PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 12:14PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 12:17PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 12:18PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 12:31PM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 12:33PM] Lun4 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 12:34PM] Lun4 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 12:35PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 12:36PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 12:47PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 12:51PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 12:54PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 12:58PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:04PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:06PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:14PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:22PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:28PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:30PM] Lun4 used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/22/23 01:31PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 01:32PM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 01:32PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:33PM] Lun4 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 01:34PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:34PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:35PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 01:37PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:39PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:43PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:00PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:02PM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 02:04PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 02:04PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:07PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:13PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:26PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:32PM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 02:33PM] Lun4 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 02:34PM] Lun4 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 02:35PM] Lun4 used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 02:36PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 02:36PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:53PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 03:02PM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 03:04PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 03:16PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 03:22PM] Lun4 used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 03:23PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 03:24PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 03:30PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 03:33PM] Lun4 used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/22/23 03:34PM] Lun4 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 03:35PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 03:35PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 03:52PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 04:02PM] Lun4 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 04:05PM] Lun4 used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 04:05PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 04:16PM] Lun4 used command ::pos | Player rights = CLERIC_DONATOR	
