[4/16/23 08:38AM] Duke used command ::train | Player rights = PLAYER	
[4/21/23 03:06PM] Duke used command ::Vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 03:08PM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 10:33PM] Duke used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 10:35PM] Duke used command ::muruem | Player rights = TORMENTED_DONATOR	
[4/21/23 10:36PM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 10:38PM] Duke used command ::vote | Player rights = TORMENTED_DONATOR	
[4/21/23 10:58PM] Duke used command ::Dailytask | Player rights = TORMENTED_DONATOR	
[4/21/23 10:59PM] Duke used command ::dailytasks | Player rights = TORMENTED_DONATOR	
[4/21/23 11:09PM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 11:15PM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 11:16PM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 11:17PM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 11:19PM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 11:34PM] Duke used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 11:35PM] Duke used command ::golden | Player rights = TORMENTED_DONATOR	
[4/21/23 11:35PM] Duke used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/21/23 11:38PM] Duke used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 11:39PM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 11:47PM] Duke used command ::dropoff | Player rights = TORMENTED_DONATOR	
[4/22/23 12:13AM] Duke used command ::kills | Player rights = TORMENTED_DONATOR	
[4/22/23 12:33AM] Duke used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 12:35AM] Duke used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 12:36AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 12:38AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 12:41AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 12:47AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 01:34AM] Duke used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 01:45AM] Duke used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/22/23 01:45AM] Duke used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/22/23 01:57AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 01:58AM] Duke used command ::Dr | Player rights = TORMENTED_DONATOR	
[4/22/23 02:05AM] Duke used command ::killsoff | Player rights = TORMENTED_DONATOR	
[4/22/23 02:06AM] Duke used command ::dropoff | Player rights = TORMENTED_DONATOR	
[4/22/23 02:09AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 02:16AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 02:34AM] Duke used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 02:36AM] Duke used command ::muruem | Player rights = TORMENTED_DONATOR	
[4/22/23 02:36AM] Duke used command ::muruem | Player rights = TORMENTED_DONATOR	
[4/22/23 02:36AM] Duke used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 02:37AM] Duke used command ::golden | Player rights = TORMENTED_DONATOR	
[4/22/23 02:40AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 03:33AM] Duke used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 03:40AM] Duke used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/22/23 04:16AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 04:23AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 04:24AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 04:25AM] Duke used command ::pow | Player rights = TORMENTED_DONATOR	
[4/22/23 04:26AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 04:34AM] Duke used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 04:35AM] Duke used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 05:00AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 05:00AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 05:11AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 05:13AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 05:16AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 05:38AM] Duke used command ::dropsoff | Player rights = TORMENTED_DONATOR	
[4/22/23 05:38AM] Duke used command ::dropoff | Player rights = TORMENTED_DONATOR	
[4/22/23 05:50AM] Duke used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/22/23 05:53AM] Duke used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 06:00AM] Duke used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 06:14AM] Duke used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 06:15AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 06:24AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 06:33AM] Duke used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 06:34AM] Duke used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 07:20AM] Duke used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 07:23AM] Duke used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 07:24AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 07:36AM] Duke used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/22/23 07:49AM] Duke used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 07:50AM] Duke used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 07:51AM] Duke used command ::gear | Player rights = TORMENTED_DONATOR	
[4/22/23 07:53AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 10:10AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 10:13AM] Duke used command ::dropoff | Player rights = TORMENTED_DONATOR	
[4/22/23 10:35AM] Duke used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 10:37AM] Duke used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 10:38AM] Duke used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 10:39AM] Duke used command ::golden | Player rights = TORMENTED_DONATOR	
[4/22/23 10:40AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 10:44AM] Duke used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:54AM] Duke used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:05AM] Duke used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:08AM] Duke used command ::vote | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:26AM] Duke used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:27AM] Duke used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:28AM] Duke used command ::dropoff | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:31AM] Duke used command ::reward 1 all | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:33AM] Duke used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:34AM] Duke used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:52AM] Duke used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:58AM] Duke used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/22/23 12:09PM] Duke used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/22/23 12:11PM] Duke used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/22/23 12:13PM] Duke used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/22/23 12:22PM] Duke used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/22/23 12:24PM] Duke used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/22/23 12:24PM] Duke used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/22/23 12:26PM] Duke used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/22/23 12:33PM] Duke used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/22/23 12:33PM] Duke used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/22/23 12:36PM] Duke used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/22/23 12:38PM] Duke used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/22/23 01:09PM] Duke used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/22/23 01:11PM] Duke used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/22/23 01:28PM] Duke used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/22/23 01:31PM] Duke used command ::vbos | Player rights = MYSTICAL_DONATOR	
[4/22/23 01:31PM] Duke used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/22/23 01:33PM] Duke used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/22/23 01:40PM] Duke used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/22/23 01:42PM] Duke used command ::pow | Player rights = MYSTICAL_DONATOR	
[4/22/23 01:42PM] Duke used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/22/23 01:44PM] Duke used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/22/23 01:57PM] Duke used command ::kills | Player rights = MYSTICAL_DONATOR	
[4/22/23 01:58PM] Duke used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/22/23 02:00PM] Duke used command ::bank | Player rights = MYSTICAL_DONATOR	
