[4/16/23 10:24AM] Heropt used command ::ninetails | Player rights = PLAYER	
[4/21/23 08:33AM] Heropt used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/21/23 08:34AM] Heropt used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/21/23 08:35AM] Heropt used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/21/23 08:36AM] Heropt used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/21/23 08:36AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 08:36AM] Heropt used command ::vote | Player rights = MYSTICAL_DONATOR	
[4/21/23 08:37AM] Heropt used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/21/23 08:39AM] Heropt used command ::reward 1 all | Player rights = MYSTICAL_DONATOR	
[4/21/23 08:39AM] Heropt used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 08:40AM] Heropt used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/21/23 08:40AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 08:42AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 08:43AM] Heropt used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/21/23 08:44AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 09:05AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 09:12AM] Heropt used command ::yell buying 3x3 aoe pm me | Player rights = MYSTICAL_DONATOR	
[4/21/23 09:23AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 09:37AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 09:37AM] Heropt used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/21/23 09:43AM] Heropt used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/21/23 09:43AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 09:56AM] Heropt used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/21/23 09:58AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 09:58AM] Heropt used command ::home | Player rights = MYSTICAL_DONATOR	
[4/21/23 09:59AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 10:00AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 10:03AM] Heropt used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/21/23 10:21AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 10:21AM] Heropt used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/21/23 10:23AM] Heropt used command ::yell $$ scrolls/bonds my pos | Player rights = MYSTICAL_DONATOR	
[4/21/23 10:34AM] Heropt used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/21/23 10:34AM] Heropt used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/21/23 10:36AM] Heropt used command ::Pos | Player rights = MYSTICAL_DONATOR	
[4/21/23 10:41AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 10:41AM] Heropt used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/21/23 10:42AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 10:43AM] Heropt used command ::home | Player rights = MYSTICAL_DONATOR	
[4/21/23 10:43AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 10:43AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 10:49AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 11:01AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 11:07AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 11:09AM] Heropt used command ::instance | Player rights = MYSTICAL_DONATOR	
[4/21/23 11:55AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 12:05PM] Heropt used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/21/23 12:05PM] Heropt used command ::Vboss | Player rights = MYSTICAL_DONATOR	
[4/21/23 12:14PM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 12:14PM] Heropt used command ::home | Player rights = MYSTICAL_DONATOR	
[4/24/23 02:13PM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/24/23 02:13PM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/24/23 02:20PM] Heropt used command ::maxdmg | Player rights = MYSTICAL_DONATOR	
[4/24/23 02:20PM] Heropt used command ::max | Player rights = MYSTICAL_DONATOR	
[4/24/23 02:31PM] Heropt used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/24/23 02:31PM] Heropt used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/24/23 02:33PM] Heropt used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/24/23 02:34PM] Heropt used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/24/23 02:47PM] Heropt used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/24/23 02:48PM] Heropt used command ::veogar | Player rights = MYSTICAL_DONATOR	
[4/24/23 02:48PM] Heropt used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/24/23 02:51PM] Heropt used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/24/23 02:54PM] Heropt used command ::::meruem | Player rights = MYSTICAL_DONATOR	
[4/24/23 02:54PM] Heropt used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/24/23 02:56PM] Heropt used command ::::golden | Player rights = MYSTICAL_DONATOR	
[4/24/23 02:56PM] Heropt used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/24/23 02:59PM] Heropt used command ::Pos | Player rights = MYSTICAL_DONATOR	
[4/24/23 03:00PM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/24/23 03:26PM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/24/23 03:26PM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/25/23 12:38PM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/25/23 01:13PM] Heropt used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/25/23 01:29PM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/25/23 01:31PM] Heropt used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/25/23 01:32PM] Heropt used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/25/23 01:33PM] Heropt used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/25/23 01:34PM] Heropt used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/25/23 01:35PM] Heropt used command ::home | Player rights = MYSTICAL_DONATOR	
[4/25/23 01:42PM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/25/23 03:21PM] Heropt used command ::Pos | Player rights = MYSTICAL_DONATOR	
[4/25/23 03:31PM] Heropt used command ::eigar | Player rights = MYSTICAL_DONATOR	
[4/25/23 03:31PM] Heropt used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/25/23 03:32PM] Heropt used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/25/23 03:34PM] Heropt used command ::meruem | Player rights = MYSTICAL_DONATOR	
