[4/15/23 05:29PM] Shaxx used command ::veigar | Player rights = PLAYER	
[4/21/23 03:04PM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 03:07PM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 03:09PM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 03:15PM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 03:33PM] Shaxx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 03:33PM] Shaxx used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 03:42PM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 03:46PM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 04:02PM] Shaxx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 04:04PM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 03:49AM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 07:34AM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 08:02AM] Shaxx used command ::viegar | Player rights = CLERIC_DONATOR	
[4/22/23 08:02AM] Shaxx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 08:04AM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 08:04AM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 08:32AM] Shaxx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 08:33AM] Shaxx used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 08:34AM] Shaxx used command ::meruem\ | Player rights = CLERIC_DONATOR	
[4/22/23 08:34AM] Shaxx used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 08:34AM] Shaxx used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 08:37AM] Shaxx used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 09:09AM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 10:02AM] Shaxx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 10:32AM] Shaxx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 10:33AM] Shaxx used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 10:34AM] Shaxx used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 10:34AM] Shaxx used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 10:35AM] Shaxx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 10:37AM] Shaxx used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 10:38AM] Shaxx used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 10:39AM] Shaxx used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 10:49AM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 11:03AM] Shaxx used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 11:07AM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 11:16AM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 11:32AM] Shaxx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 11:33AM] Shaxx used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 11:34AM] Shaxx used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 11:35AM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:02PM] Shaxx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 01:07PM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:08PM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:21PM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:33PM] Shaxx used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 02:34PM] Shaxx used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 02:35PM] Shaxx used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 02:35PM] Shaxx used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 02:36PM] Shaxx used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 02:36PM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:57PM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 03:02PM] Shaxx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 03:04PM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 03:22PM] Shaxx used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 03:23PM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 03:32PM] Shaxx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 03:34PM] Shaxx used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 03:35PM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 04:10PM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 04:12PM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 04:37PM] Shaxx used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 04:38PM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 05:25PM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 05:32PM] Shaxx used command ::VEIGAR | Player rights = CLERIC_DONATOR	
[4/22/23 05:33PM] Shaxx used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 05:34PM] Shaxx used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 05:35PM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
