[4/15/23 12:36PM] Rokas used command ::starter | Player rights = PLAYER	
[4/17/23 03:43PM] Rokas used command ::yell buying votes 20 k each | Player rights = TORMENTED_DONATOR	
[4/17/23 03:46PM] Rokas used command ::yell buying votes 25k each!! | Player rights = TORMENTED_DONATOR	
[4/17/23 03:46PM] Rokas used command ::home | Player rights = TORMENTED_DONATOR	
[4/17/23 03:46PM] Rokas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 06:05AM] Rokas used command ::tasks | Player rights = TORMENTED_DONATOR	
[4/18/23 06:05AM] Rokas used command ::yell buying 7 votes at home! | Player rights = TORMENTED_DONATOR	
[4/18/23 06:07AM] Rokas used command ::vote | Player rights = TORMENTED_DONATOR	
[4/18/23 06:07AM] Rokas used command ::yell buying 5 votes! 100k! | Player rights = TORMENTED_DONATOR	
[4/18/23 06:07AM] Rokas used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/18/23 06:08AM] Rokas used command ::yell buying 5 votes! 100k! | Player rights = TORMENTED_DONATOR	
[4/18/23 06:09AM] Rokas used command ::yell buying 3 votes!! | Player rights = TORMENTED_DONATOR	
[4/18/23 06:10AM] Rokas used command ::yell buying all votes 20k each | Player rights = TORMENTED_DONATOR	
[4/18/23 06:10AM] Rokas used command ::yell buying all votes 20k each!! at home | Player rights = TORMENTED_DONATOR	
[4/18/23 06:10AM] Rokas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 06:11AM] Rokas used command ::tasks | Player rights = TORMENTED_DONATOR	
[4/18/23 06:11AM] Rokas used command ::yell buying 2 votes 40k!! | Player rights = TORMENTED_DONATOR	
[4/18/23 06:11AM] Rokas used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 06:12AM] Rokas used command ::home | Player rights = TORMENTED_DONATOR	
[4/18/23 06:12AM] Rokas used command ::yell buying 2 votes at home! 45k! | Player rights = TORMENTED_DONATOR	
[4/18/23 06:12AM] Rokas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 06:13AM] Rokas used command ::yell buying 2 votes! 50k!! | Player rights = TORMENTED_DONATOR	
[4/18/23 06:13AM] Rokas used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 06:14AM] Rokas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 06:15AM] Rokas used command ::tasks | Player rights = TORMENTED_DONATOR	
[4/18/23 06:17AM] Rokas used command ::yell selling 150$ | Player rights = TORMENTED_DONATOR	
[4/18/23 06:17AM] Rokas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 06:17AM] Rokas used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 06:18AM] Rokas used command ::tasks | Player rights = TORMENTED_DONATOR	
[4/18/23 06:22AM] Rokas used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 06:22AM] Rokas used command ::dropoff | Player rights = TORMENTED_DONATOR	
[4/18/23 06:26AM] Rokas used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/18/23 06:37AM] Rokas used command ::dr | Player rights = TORMENTED_DONATOR	
[4/18/23 06:41AM] Rokas used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 06:42AM] Rokas used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 06:43AM] Rokas used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/18/23 06:44AM] Rokas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 06:44AM] Rokas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 06:45AM] Rokas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 06:45AM] Rokas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 06:45AM] Rokas used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 06:45AM] Rokas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 06:45AM] Rokas used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 06:45AM] Rokas used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 06:46AM] Rokas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 06:47AM] Rokas used command ::dr | Player rights = TORMENTED_DONATOR	
[4/18/23 07:01AM] Rokas used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 07:01AM] Rokas used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 07:01AM] Rokas used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 07:02AM] Rokas used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 07:07AM] Rokas used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 07:08AM] Rokas used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 07:10AM] Rokas used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 07:10AM] Rokas used command ::home | Player rights = TORMENTED_DONATOR	
[4/18/23 07:12AM] Rokas used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 07:15AM] Rokas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 07:15AM] Rokas used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 07:15AM] Rokas used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 07:17AM] Rokas used command ::dr | Player rights = TORMENTED_DONATOR	
[4/18/23 07:20AM] Rokas used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 07:30AM] Rokas used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 07:31AM] Rokas used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 07:36AM] Rokas used command ::home | Player rights = TORMENTED_DONATOR	
[4/18/23 07:37AM] Rokas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 07:41AM] Rokas used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 07:42AM] Rokas used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 07:42AM] Rokas used command ::golden | Player rights = TORMENTED_DONATOR	
[4/18/23 08:00AM] Rokas used command ::tasks | Player rights = TORMENTED_DONATOR	
[4/18/23 08:11AM] Rokas used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 08:12AM] Rokas used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 08:14AM] Rokas used command ::dr | Player rights = TORMENTED_DONATOR	
[4/18/23 08:16AM] Rokas used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 09:08AM] Rokas used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 09:09AM] Rokas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 11:53AM] Rokas used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 11:56AM] Rokas used command ::dropoff | Player rights = TORMENTED_DONATOR	
[4/18/23 12:04PM] Rokas used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 12:06PM] Rokas used command ::yell selling executive gloves | Player rights = TORMENTED_DONATOR	
[4/18/23 12:08PM] Rokas used command ::dr | Player rights = TORMENTED_DONATOR	
[4/18/23 12:11PM] Rokas used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 12:13PM] Rokas used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 12:16PM] Rokas used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/18/23 12:18PM] Rokas used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 12:33PM] Rokas used command ::yell any gambling happening already? | Player rights = TORMENTED_DONATOR	
[4/18/23 12:33PM] Rokas used command ::home | Player rights = TORMENTED_DONATOR	
[4/18/23 12:35PM] Rokas used command ::gamble | Player rights = TORMENTED_DONATOR	
[4/18/23 12:36PM] Rokas used command ::home | Player rights = TORMENTED_DONATOR	
[4/18/23 12:38PM] Rokas used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 12:41PM] Rokas used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 12:42PM] Rokas used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/18/23 12:48PM] Rokas used command ::yell anyone gambling yet? | Player rights = TORMENTED_DONATOR	
[4/18/23 12:50PM] Rokas used command ::yell does 2x kc and 3x kc stack? | Player rights = TORMENTED_DONATOR	
[4/18/23 12:53PM] Rokas used command ::checkbank | Player rights = TORMENTED_DONATOR	
[4/18/23 12:55PM] Rokas used command ::shops | Player rights = TORMENTED_DONATOR	
[4/18/23 12:58PM] Rokas used command ::bank | Player rights = TORMENTED_DONATOR	
