[4/15/23 12:06AM] Kandonas used command ::totem | Player rights = PLAYER	
[4/24/23 09:26AM] Kandonas used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/24/23 09:29AM] Kandonas used command ::wzone | Player rights = MYSTICAL_DONATOR	
[4/24/23 10:21AM] Kandonas used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/24/23 10:35AM] Kandonas used command ::yell sell 35$ 100k ea | Player rights = MYSTICAL_DONATOR	
[4/24/23 10:46AM] Kandonas used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/24/23 10:48AM] Kandonas used command ::yell buy bow 3.7m | Player rights = MYSTICAL_DONATOR	
[4/24/23 10:49AM] Kandonas used command ::yell buy bow for 3.7m | Player rights = MYSTICAL_DONATOR	
[4/24/23 10:54AM] Kandonas used command ::yell buy fck bow for 3.7m | Player rights = MYSTICAL_DONATOR	
[4/24/23 11:04AM] Kandonas used command ::yell buy demon bow | Player rights = MYSTICAL_DONATOR	
[4/24/23 11:06AM] Kandonas used command ::yell buy demon bow | Player rights = MYSTICAL_DONATOR	
[4/24/23 11:12AM] Kandonas used command ::yell buy demon bow | Player rights = MYSTICAL_DONATOR	
[4/24/23 11:18AM] Kandonas used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/24/23 11:25AM] Kandonas used command ::yell buy demon bow | Player rights = MYSTICAL_DONATOR	
[4/24/23 11:26AM] Kandonas used command ::yell buy bow 4m | Player rights = MYSTICAL_DONATOR	
[4/24/23 12:21PM] Kandonas used command ::afk | Player rights = MYSTICAL_DONATOR	
[4/24/23 08:03PM] Kandonas used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/24/23 08:05PM] Kandonas used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/24/23 08:15PM] Kandonas used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/24/23 08:19PM] Kandonas used command ::Vote | Player rights = MYSTICAL_DONATOR	
[4/24/23 08:22PM] Kandonas used command ::Reward 1 | Player rights = MYSTICAL_DONATOR	
[4/24/23 08:22PM] Kandonas used command ::reward 1 | Player rights = MYSTICAL_DONATOR	
[4/24/23 08:22PM] Kandonas used command ::Reward 1 | Player rights = MYSTICAL_DONATOR	
[4/24/23 08:31PM] Kandonas used command ::afk | Player rights = MYSTICAL_DONATOR	
[4/24/23 09:17PM] Kandonas used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/24/23 09:17PM] Kandonas used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/24/23 09:22PM] Kandonas used command ::home | Player rights = MYSTICAL_DONATOR	
[4/24/23 10:13PM] Kandonas used command ::afk | Player rights = MYSTICAL_DONATOR	
[4/25/23 01:23AM] Kandonas used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/25/23 01:23AM] Kandonas used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/25/23 01:23AM] Kandonas used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/25/23 01:49AM] Kandonas used command ::dropooff | Player rights = MYSTICAL_DONATOR	
[4/25/23 01:49AM] Kandonas used command ::dropoff | Player rights = MYSTICAL_DONATOR	
[4/25/23 02:00AM] Kandonas used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/25/23 02:08AM] Kandonas used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/25/23 02:38AM] Kandonas used command ::afk | Player rights = MYSTICAL_DONATOR	
[4/25/23 04:32AM] Kandonas used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/25/23 04:37AM] Kandonas used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/25/23 05:16AM] Kandonas used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/25/23 05:17AM] Kandonas used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/25/23 05:19AM] Kandonas used command ::afk | Player rights = MYSTICAL_DONATOR	
[4/25/23 06:28AM] Kandonas used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/25/23 07:24AM] Kandonas used command ::afk | Player rights = MYSTICAL_DONATOR	
[4/25/23 10:52AM] Kandonas used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/25/23 11:31PM] Kandonas used command ::home | Player rights = MYSTICAL_DONATOR	
[4/25/23 11:51PM] Kandonas used command ::afk | Player rights = MYSTICAL_DONATOR	
>>>>>>> Stashed changes
