[4/17/23 12:25PM] Proxy used command ::ref | Player rights = PLAYER	
[4/26/23 10:20AM] Proxy used command ::staff | Player rights = TORMENTED_DONATOR	
[4/26/23 10:25AM] Proxy used command ::dr | Player rights = TORMENTED_DONATOR	
[4/26/23 10:25AM] Proxy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/26/23 10:26AM] Proxy used command ::dr | Player rights = TORMENTED_DONATOR	
[4/26/23 10:35AM] Proxy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/26/23 10:42AM] Proxy used command ::dr | Player rights = TORMENTED_DONATOR	
[4/26/23 10:42AM] Proxy used command ::dr | Player rights = TORMENTED_DONATOR	
[4/26/23 10:49AM] Proxy used command ::home | Player rights = TORMENTED_DONATOR	
[4/26/23 11:22AM] Proxy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/26/23 11:25AM] Proxy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/26/23 11:31AM] Proxy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/26/23 11:35AM] Proxy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/26/23 11:36AM] Proxy used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/26/23 12:05PM] Proxy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/26/23 12:06PM] Proxy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/26/23 12:07PM] Proxy used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/26/23 12:07PM] Proxy used command ::golden | Player rights = TORMENTED_DONATOR	
[4/26/23 03:35PM] Proxy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/26/23 04:05PM] Proxy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/26/23 04:07PM] Proxy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/26/23 04:35PM] Proxy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/26/23 05:05PM] Proxy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/26/23 05:07PM] Proxy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/26/23 05:07PM] Proxy used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/26/23 05:11PM] Proxy used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/26/23 05:35PM] Proxy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/26/23 05:37PM] Proxy used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/26/23 06:05PM] Proxy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/26/23 06:06PM] Proxy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/26/23 06:08PM] Proxy used command ::golden | Player rights = TORMENTED_DONATOR	
[4/26/23 06:35PM] Proxy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/26/23 07:17PM] Proxy used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/26/23 07:22PM] Proxy used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/26/23 07:35PM] Proxy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/26/23 08:05PM] Proxy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/26/23 08:35PM] Proxy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/26/23 09:05PM] Proxy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/26/23 09:07PM] Proxy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/26/23 09:08PM] Proxy used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/26/23 09:09PM] Proxy used command ::golden | Player rights = TORMENTED_DONATOR	
[4/26/23 09:35PM] Proxy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/26/23 10:05PM] Proxy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/26/23 10:07PM] Proxy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/26/23 10:11PM] Proxy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/26/23 10:35PM] Proxy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/26/23 10:40PM] Proxy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/26/23 11:12PM] Proxy used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/27/23 11:05AM] Proxy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/27/23 11:06AM] Proxy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/27/23 11:06AM] Proxy used command ::wr3cked | Player rights = TORMENTED_DONATOR	
[4/27/23 11:07AM] Proxy used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/27/23 11:08AM] Proxy used command ::golden | Player rights = TORMENTED_DONATOR	
[4/27/23 11:10AM] Proxy used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/27/23 11:13AM] Proxy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/27/23 11:35AM] Proxy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/27/23 12:35PM] Proxy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/27/23 12:35PM] Proxy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/27/23 01:05PM] Proxy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/27/23 01:05PM] Proxy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/27/23 01:06PM] Proxy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/27/23 01:07PM] Proxy used command ::mureum | Player rights = TORMENTED_DONATOR	
[4/27/23 01:07PM] Proxy used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/27/23 01:08PM] Proxy used command ::golden | Player rights = TORMENTED_DONATOR	
[4/27/23 02:05PM] Proxy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/27/23 02:06PM] Proxy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/27/23 03:06PM] Proxy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/27/23 03:06PM] Proxy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/27/23 03:07PM] Proxy used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/27/23 03:08PM] Proxy used command ::golden | Player rights = TORMENTED_DONATOR	
[4/27/23 03:35PM] Proxy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/27/23 04:05PM] Proxy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/27/23 04:06PM] Proxy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/27/23 04:10PM] Proxy used command ::dr | Player rights = TORMENTED_DONATOR	
[4/27/23 05:05PM] Proxy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/27/23 05:05PM] Proxy used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/27/23 05:05PM] Proxy used command ::golden | Player rights = TORMENTED_DONATOR	
[4/27/23 05:07PM] Proxy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/27/23 05:07PM] Proxy used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/27/23 05:11PM] Proxy used command ::dropoff | Player rights = TORMENTED_DONATOR	
[4/27/23 05:35PM] Proxy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/27/23 05:35PM] Proxy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/27/23 06:05PM] Proxy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/27/23 06:07PM] Proxy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/27/23 06:07PM] Proxy used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/27/23 06:07PM] Proxy used command ::golden | Player rights = TORMENTED_DONATOR	
[4/27/23 07:05PM] Proxy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/27/23 07:07PM] Proxy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/27/23 07:07PM] Proxy used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/27/23 07:26PM] Proxy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/27/23 07:35PM] Proxy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/27/23 09:05PM] Proxy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/27/23 09:06PM] Proxy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/27/23 09:08PM] Proxy used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/27/23 09:10PM] Proxy used command ::golden | Player rights = TORMENTED_DONATOR	
[4/27/23 09:11PM] Proxy used command ::global | Player rights = TORMENTED_DONATOR	
[4/27/23 09:35PM] Proxy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/27/23 09:48PM] Proxy used command ::voteboss | Player rights = TORMENTED_DONATOR	
