[4/17/23 11:00AM] Nexthokage used command ::starter | Player rights = PLAYER	
[4/20/23 01:36PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:37PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:37PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:38PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:38PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:38PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:38PM] Nexthokage used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 01:39PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:44PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:47PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:49PM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 01:57PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:57PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 02:03PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 02:18PM] Nexthokage used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 02:19PM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 02:20PM] Nexthokage used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 02:21PM] Nexthokage used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/20/23 02:22PM] Nexthokage used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 02:23PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 02:34PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:07PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:08PM] Nexthokage used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 05:10PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:13PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:19PM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 05:20PM] Nexthokage used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 05:21PM] Nexthokage used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 05:49PM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 05:51PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:53PM] Nexthokage used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 06:00PM] Nexthokage used command ::tasks | Player rights = CLERIC_DONATOR	
[4/20/23 06:10PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:12PM] Nexthokage used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 06:19PM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:20PM] Nexthokage used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 06:21PM] Nexthokage used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 06:40PM] Nexthokage used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 06:41PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:28PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:45AM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:45AM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:49AM] Nexthokage used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 09:56AM] Nexthokage used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 10:02AM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 10:30AM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:32AM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 10:34AM] Nexthokage used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 10:34AM] Nexthokage used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 11:33AM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 11:33AM] Nexthokage used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 11:35AM] Nexthokage used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 11:35AM] Nexthokage used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 11:35AM] Nexthokage used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 12:06PM] Nexthokage used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 01:06PM] Nexthokage used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 01:07PM] Nexthokage used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/21/23 01:21PM] Nexthokage used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 01:21PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 01:42PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 01:47PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 01:47PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 01:48PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 01:49PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 01:55PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 02:02PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 02:02PM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 02:10PM] Nexthokage used command ::tasks | Player rights = CLERIC_DONATOR	
[4/21/23 02:14PM] Nexthokage used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 02:17PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 02:32PM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 02:33PM] Nexthokage used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 02:34PM] Nexthokage used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 02:34PM] Nexthokage used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 03:03PM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 03:06PM] Nexthokage used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 03:27PM] Nexthokage used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 03:28PM] Nexthokage used command ::POS | Player rights = CLERIC_DONATOR	
[4/21/23 03:29PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 03:29PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 03:32PM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 03:33PM] Nexthokage used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 03:35PM] Nexthokage used command ::noble | Player rights = CLERIC_DONATOR	
[4/21/23 03:42PM] Nexthokage used command ::tasks | Player rights = CLERIC_DONATOR	
[4/21/23 04:29PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 04:31PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 04:54PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 05:02PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 05:05PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 05:07PM] Nexthokage used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 05:10PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 05:32PM] Nexthokage used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 05:33PM] Nexthokage used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 05:34PM] Nexthokage used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 05:43PM] Nexthokage used command ::tasks | Player rights = CLERIC_DONATOR	
[4/21/23 05:51PM] Nexthokage used command ::tasks | Player rights = CLERIC_DONATOR	
[4/21/23 05:53PM] Nexthokage used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 05:54PM] Nexthokage used command ::home | Player rights = CLERIC_DONATOR	
