[4/16/23 02:18AM] Matt0804 used command ::ref | Player rights = PLAYER	
[4/21/23 06:07AM] Matt0804 used command ::Raids | Player rights = TORMENTED_DONATOR	
[4/21/23 06:08AM] Matt0804 used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 06:09AM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 06:15AM] Matt0804 used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 06:15AM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 06:16AM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 06:16AM] Matt0804 used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 06:17AM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 06:18AM] Matt0804 used command ::Elo | Player rights = TORMENTED_DONATOR	
[4/21/23 08:34AM] Matt0804 used command ::Voteboss | Player rights = TORMENTED_DONATOR	
[4/21/23 08:35AM] Matt0804 used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 08:35AM] Matt0804 used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/21/23 08:35AM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 08:36AM] Matt0804 used command ::golden | Player rights = TORMENTED_DONATOR	
[4/21/23 08:36AM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 08:38AM] Matt0804 used command ::Voteboss | Player rights = TORMENTED_DONATOR	
[4/21/23 08:39AM] Matt0804 used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 08:40AM] Matt0804 used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/21/23 08:43AM] Matt0804 used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/21/23 08:44AM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 08:45AM] Matt0804 used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/21/23 08:51AM] Matt0804 used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 09:04AM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 09:09AM] Matt0804 used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 09:11AM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 09:24AM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 09:25AM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 09:26AM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 09:26AM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 09:27AM] Matt0804 used command ::Dr | Player rights = TORMENTED_DONATOR	
[4/21/23 09:32AM] Matt0804 used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 09:34AM] Matt0804 used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 09:41AM] Matt0804 used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 09:41AM] Matt0804 used command ::Dr | Player rights = TORMENTED_DONATOR	
[4/21/23 09:56AM] Matt0804 used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/21/23 09:57AM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 10:02AM] Matt0804 used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 10:17AM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 10:18AM] Matt0804 used command ::yell trading 172% dr 1.2mil cash 20$ an 12 votes for 3x3 aoe | Player rights = TORMENTED_DONATOR	
[4/21/23 10:18AM] Matt0804 used command ::yell 3x3 aoe | Player rights = TORMENTED_DONATOR	
[4/21/23 10:20AM] Matt0804 used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 10:32AM] Matt0804 used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 10:33AM] Matt0804 used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 10:33AM] Matt0804 used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 10:33AM] Matt0804 used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 10:33AM] Matt0804 used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 10:34AM] Matt0804 used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/21/23 11:11AM] Matt0804 used command ::yell trading 3 transfer crystals for a coll necklace | Player rights = TORMENTED_DONATOR	
[4/21/23 11:12AM] Matt0804 used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 11:14AM] Matt0804 used command ::yell trading 4 transfer crystals for a collectors necklace | Player rights = TORMENTED_DONATOR	
[4/21/23 11:29AM] Matt0804 used command ::instance | Player rights = TORMENTED_DONATOR	
[4/21/23 11:29AM] Matt0804 used command ::instances | Player rights = TORMENTED_DONATOR	
[4/21/23 11:29AM] Matt0804 used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 11:31AM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 11:32AM] Matt0804 used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 11:33AM] Matt0804 used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 11:35AM] Matt0804 used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/21/23 11:35AM] Matt0804 used command ::golden | Player rights = TORMENTED_DONATOR	
[4/21/23 12:05PM] Matt0804 used command ::Voteboss | Player rights = TORMENTED_DONATOR	
[4/21/23 12:08PM] Matt0804 used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/21/23 12:27PM] Matt0804 used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 12:39PM] Matt0804 used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 12:43PM] Matt0804 used command ::Dr | Player rights = TORMENTED_DONATOR	
[4/21/23 01:17PM] Matt0804 used command ::po | Player rights = TORMENTED_DONATOR	
[4/21/23 01:17PM] Matt0804 used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 01:27PM] Matt0804 used command ::Dr | Player rights = TORMENTED_DONATOR	
[4/21/23 01:51PM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 01:56PM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 02:07PM] Matt0804 used command ::Dr | Player rights = TORMENTED_DONATOR	
[4/21/23 05:50PM] Matt0804 used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 05:54PM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 05:55PM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 06:14PM] Matt0804 used command ::dr | Player rights = TORMENTED_DONATOR	
[4/21/23 06:14PM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 06:14PM] Matt0804 used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 06:23PM] Matt0804 used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 06:33PM] Matt0804 used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 06:33PM] Matt0804 used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 06:33PM] Matt0804 used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 06:33PM] Matt0804 used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 06:34PM] Matt0804 used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/21/23 06:35PM] Matt0804 used command ::golden | Player rights = TORMENTED_DONATOR	
[4/21/23 06:36PM] Matt0804 used command ::Voteboss | Player rights = TORMENTED_DONATOR	
[4/22/23 04:13AM] Matt0804 used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 04:15AM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 04:40AM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 04:57AM] Matt0804 used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 05:01AM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 05:01AM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 09:13AM] Matt0804 used command ::Dr | Player rights = TORMENTED_DONATOR	
[4/22/23 09:50AM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 09:57AM] Matt0804 used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 10:01AM] Matt0804 used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/22/23 10:07AM] Matt0804 used command ::yell buying blood enhancement 1.5mil | Player rights = TORMENTED_DONATOR	
[4/22/23 10:57AM] Matt0804 used command ::dr | Player rights = TORMENTED_DONATOR	
[4/22/23 11:01AM] Matt0804 used command ::Dr | Player rights = TORMENTED_DONATOR	
[4/22/23 11:05AM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 11:06AM] Matt0804 used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/22/23 11:15AM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 11:23AM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 11:35AM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 12:17PM] Matt0804 used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 12:20PM] Matt0804 used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 12:46PM] Matt0804 used command ::Dr | Player rights = TORMENTED_DONATOR	
[4/22/23 12:54PM] Matt0804 used command ::dr | Player rights = TORMENTED_DONATOR	
[4/22/23 01:09PM] Matt0804 used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 01:15PM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 01:16PM] Matt0804 used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 01:18PM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 01:18PM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 01:18PM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 01:18PM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 01:19PM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 01:29PM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 01:30PM] Matt0804 used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/22/23 01:33PM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 01:33PM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 02:46PM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 02:46PM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 02:57PM] Matt0804 used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 12:32AM] Matt0804 used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/23/23 12:33AM] Matt0804 used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/23/23 12:34AM] Matt0804 used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/23/23 12:36AM] Matt0804 used command ::golden | Player rights = TORMENTED_DONATOR	
[4/23/23 12:48AM] Matt0804 used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/23/23 12:48AM] Matt0804 used command ::vote | Player rights = TORMENTED_DONATOR	
[4/23/23 12:50AM] Matt0804 used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/23/23 12:51AM] Matt0804 used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/23/23 12:51AM] Matt0804 used command ::Reward 1 | Player rights = TORMENTED_DONATOR	
[4/23/23 01:02AM] Matt0804 used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/23/23 01:05AM] Matt0804 used command ::tasks | Player rights = TORMENTED_DONATOR	
[4/23/23 01:07AM] Matt0804 used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 01:32AM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
[4/23/23 01:32AM] Matt0804 used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/23/23 01:33AM] Matt0804 used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/23/23 01:42AM] Matt0804 used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 01:45AM] Matt0804 used command ::Dr | Player rights = TORMENTED_DONATOR	
[4/23/23 02:08AM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
[4/23/23 02:20AM] Matt0804 used command ::yell buying 94$ 4.8mil cash | Player rights = TORMENTED_DONATOR	
[4/23/23 02:24AM] Matt0804 used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 02:24AM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
[4/23/23 02:27AM] Matt0804 used command ::yell buying 94$ for 5mil cash  | Player rights = TORMENTED_DONATOR	
[4/23/23 02:32AM] Matt0804 used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/23/23 02:33AM] Matt0804 used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/23/23 02:34AM] Matt0804 used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/23/23 02:35AM] Matt0804 used command ::yell buying 94$ for 5.2mil cash | Player rights = TORMENTED_DONATOR	
[4/23/23 02:35AM] Matt0804 used command ::golden | Player rights = TORMENTED_DONATOR	
[4/23/23 02:36AM] Matt0804 used command ::bank | Player rights = TORMENTED_DONATOR	
