[4/15/23 12:03AM] Sender: Alex, Message: Also, do ::ref walkchaos and ::totem for a buff	
[4/15/23 12:04AM] Sender: Nick, Message: Awesome!	
[4/16/23 10:55PM] Sender: Slayer, Message: Top right says tier rankings	
[4/16/23 10:55PM] Sender: Don chapo, Message: Oh ty	
[4/16/23 10:55PM] Sender: Slayer, Message: Np	
[4/16/23 10:56PM] Sender: Immortal, Message: Gz	
[4/16/23 10:56PM] Sender: Suh, Message: Moooaaaaarrr pettttts	
[4/16/23 10:56PM] Sender: Slayer, Message: Gz	
[4/16/23 10:57PM] Sender: Immortal, Message: Welcome fam	
[4/16/23 10:58PM] Sender: Ainokea, Message: Ty	
[4/16/23 10:58PM] Sender: Slayer, Message: Selling $25 bond 850k	
[4/16/23 10:58PM] Sender: Suh, Message: Ill buy it	
[4/16/23 10:58PM] Sender: Loss, Message: Just did zinq in 330 kc life is good	
[4/16/23 10:58PM] Sender: Slayer, Message: Im home suh	
[4/16/23 10:59PM] Sender: Spud, Message:  where do you get upgrade tokens from?	
[4/16/23 10:59PM] Sender: Froggers, Message: Anyone wanna buy t3 heal potion?	
[4/16/23 10:59PM] Sender: Jono, Message: My friend ruthie wassup	
[4/16/23 11:00PM] Sender: Ruthie, Message: L0l all my buddies coming on here	
[4/16/23 11:00PM] Sender: Jono, Message: I remember u	
[4/16/23 11:00PM] Sender: Jono, Message: Didnt u save that dog from a house fire one time	
[4/16/23 11:00PM] Sender: Ruthie, Message: Smh yeah	
[4/16/23 11:00PM] Sender: Froggers, Message: How come im getting less than 200 xp per kill for slayer?	
[4/16/23 11:00PM] Sender: Immortal, Message: 0,0	
[4/16/23 11:00PM] Sender: Froggers, Message: With double xp perk on	
[4/16/23 11:01PM] Sender: A fatality, Message: Slayer is kinda slow even for reg mode	
[4/16/23 11:01PM] Sender: Froggers, Message: Xd	
[4/16/23 11:01PM] Sender: Froggers, Message: Im getting 96 xp per kill... for medium slayer	
[4/16/23 11:01PM] Sender: Slayer, Message: Im 90 slayer xd	
[4/16/23 11:01PM] Sender: Doppelganger, Message: Cause of ur mode	
[4/16/23 11:01PM] Sender: Beef supreme, Message: It speeds up. hard and boss slayer with dxp from votes	
[4/16/23 11:01PM] Sender: Beef supreme, Message: I'm getting 10k+ per kill i think	
[4/16/23 11:01PM] Sender: Froggers, Message: I dont think it should be that low even for my mode	
[4/16/23 11:01PM] Sender: Doppelganger, Message: Its the same for everyone	
[4/16/23 11:02PM] Sender: Immortal, Message: L000000l	
[4/16/23 11:02PM] Sender: A fatality, Message: Nice 1	
[4/16/23 11:02PM] Sender: Immortal, Message: 0mg and double kills	
[4/16/23 11:02PM] Sender: Slayer, Message: Nice	
[4/16/23 11:02PM] Sender: Immortal, Message: Tyty	
[4/16/23 11:02PM] Sender: Suh, Message: Grats	
[4/16/23 11:03PM] Sender: Slayer, Message: Sell me one :p?	
[4/16/23 11:03PM] Sender: Immortal, Message: Ty  g	
[4/16/23 11:03PM] Sender: Immortal, Message: Offer?	
[4/16/23 11:03PM] Sender: Slayer, Message: Idk lol	
[4/16/23 11:03PM] Sender: Immortal, Message: 4x kc now l0l0l	
[4/16/23 11:03PM] Sender: Slayer, Message: 150k nice lol	
[4/16/23 11:03PM] Sender: Slayer, Message: How much cash would u take?	
[4/16/23 11:03PM] Sender: Immortal, Message: Idk offer me broski	
[4/16/23 11:04PM] Sender: Slayer, Message: Uh 500k?	
[4/16/23 11:04PM] Sender: Immortal, Message: Hmm	
[4/16/23 11:05PM] Sender: Immortal, Message: Sure bro 	
[4/16/23 11:05PM] Sender: Immortal, Message: Come home	
[4/16/23 11:07PM] Sender: Immortal, Message: Buying all votes	
[4/16/23 11:08PM] Sender: A fatality, Message: Anyone ever figure out if u can fail upgrades	
[4/16/23 11:08PM] Sender: Immortal, Message: Don't think u can mate	
[4/16/23 11:08PM] Sender: Slayer, Message: 100% upgrade i think so	
[4/16/23 11:08PM] Sender: Jroc, Message: A staff said 100%	
[4/16/23 11:09PM] Sender: Immortal, Message: ::veigar	
[4/16/23 11:10PM] Sender: Beef supreme, Message: Waiting for someone to get an aoe wep up for sale hehe	
[4/16/23 11:10PM] Sender: Beef supreme, Message: Stockpiling cash for that one	
[4/16/23 11:11PM] Sender: Immortal, Message: Welcome	
[4/16/23 11:11PM] Sender: Jroc, Message: Welcome	
[4/16/23 11:11PM] Sender: Froggers, Message: Can you get yellow rarity on any item?	
[4/16/23 11:12PM] Sender: Immortal, Message: All types	
[4/16/23 11:12PM] Sender: Immortal, Message: Just examine it if its glowng	
[4/16/23 11:12PM] Sender: Slayer, Message: Any gear tier 14+	
[4/16/23 11:12PM] Sender: Ruthie, Message: Wait what? golden already died?	
[4/16/23 11:12PM] Sender: Froggers, Message: Ah 14+	
[4/16/23 11:12PM] Sender: A fatality, Message: No it never spawned	
[4/16/23 11:12PM] Sender: Immortal, Message: Ye we at ::veigar	
[4/16/23 11:12PM] Sender: A fatality, Message: Only veigar	
[4/16/23 11:15PM] Sender: Slayer, Message: 00f gz	
[4/16/23 11:15PM] Sender: A fatality, Message: Nice	
[4/16/23 11:15PM] Sender: Suh, Message: What a nerd	
[4/16/23 11:15PM] Sender: Immortal, Message: Vn	
[4/16/23 11:15PM] Sender: 21a, Message: Gz on 25k	
[4/16/23 11:15PM] Sender: Suh, Message: Oh its me	
[4/16/23 11:16PM] Sender: 21a, Message: Anyone want buy marksman prayer scroll?	
[4/16/23 11:16PM] Sender: Don chapo, Message: Sure ,hm	
[4/16/23 11:16PM] Sender: Slayer, Message: How much	
[4/16/23 11:16PM] Sender: 21a, Message: 850k	
[4/16/23 11:16PM] Sender: Don chapo, Message: Pass	
[4/16/23 11:16PM] Sender: Pokker, Message: Where do i get a pick from	
[4/16/23 11:17PM] Sender: 21a, Message: Veigar	
[4/16/23 11:17PM] Sender: Mysterious, Message: Brother jared shop at home south	
[4/16/23 11:17PM] Sender: Dopamine, Message: Pokker at brother jared	
[4/16/23 11:17PM] Sender: 21a, Message: Slayer	
[4/16/23 11:17PM] Sender: 21a, Message: You want buy it or?	
[4/16/23 11:17PM] Sender: Pokker, Message: Ty got one	
[4/16/23 11:18PM] Sender: Slayer, Message: Just used 500k i just had 850k stack rip xd	
[4/16/23 11:18PM] Sender: 21a, Message: Well, i leave it in pos	
[4/16/23 11:19PM] Sender: Isyutaru, Message: Selling that beef?	
[4/16/23 11:19PM] Sender: Slayer, Message: 18k statz	
[4/16/23 11:20PM] Sender: Isyutaru, Message: Yh	
[4/16/23 11:20PM] Sender: Beef supreme, Message: Sry, dissolved	
[4/16/23 11:20PM] Sender: Slayer, Message: ;o	
[4/16/23 11:20PM] Sender: Isyutaru, Message: Damn np	
[4/16/23 11:20PM] Sender: Beef supreme, Message: If i get another one i'll throw in pos tho	
[4/16/23 11:20PM] Sender: Beef supreme, Message: Seems to be what i get dropping here =p	
[4/16/23 11:22PM] Sender: Suh, Message: Alright time for nap, catch u guys later, have a good one!	
[4/16/23 11:22PM] Sender: Arthas, Message: Alright whats the no life grind process for a aoe weapon	
[4/16/23 11:22PM] Sender: Dopamine, Message: Take care suh	
[4/16/23 11:22PM] Sender: Ruthie, Message: Same	
[4/16/23 11:22PM] Sender: Slayer, Message: Gn suh	
[4/16/23 11:22PM] Sender: A fatality, Message:  i believe its ultra rare to get it from a t14+ wep	
[4/16/23 11:22PM] Sender: Arthas, Message: Gay	
[4/16/23 11:23PM] Sender: Slayer, Message: Anyone selling inf prayer pot?	
[4/16/23 11:24PM] Sender: Beef supreme, Message: Threw that staff in my pos this time =p	
[4/16/23 11:25PM] Sender: Immortal, Message: Welcome	
[4/16/23 11:25PM] Sender: Slayer, Message: Welcome	
[4/16/23 11:25PM] Sender: Asquad, Message: Ty	
[4/16/23 11:26PM] Sender: Slayer, Message: What slayer lvl for hard tasks?	
[4/16/23 11:26PM] Sender: Arthas, Message: 69	
[4/16/23 11:26PM] Sender: A fatality, Message: 80	
[4/16/23 11:26PM] Sender: Asquad, Message: Tried alex refferal didnt get anything	
[4/16/23 11:27PM] Sender: A fatality, Message: ::ref walkchaos	
[4/16/23 11:27PM] Sender: Slayer, Message: Ty	
[4/16/23 11:28PM] Sender: Cheung, Message: Buying votes	
[4/16/23 11:28PM] Sender: Beef supreme, Message: I got 1.2m bil tokens to the first one who brings me 	
[4/16/23 11:28PM] Sender: Beef supreme, Message: The shitiest aoe wep they can find =p	
[4/16/23 11:29PM] Sender: Slayer, Message: Bronze sword aoe	
[4/16/23 11:29PM] Sender: Asquad, Message: Bro	
[4/16/23 11:29PM] Sender: A fatality, Message: T14+ needed to roll the perk	
[4/16/23 11:29PM] Sender: Froggers, Message: I need more xp to do slayer to by pass kc req xd	
[4/16/23 11:29PM] Sender: Cheung, Message: Buying bonds or votes	
[4/16/23 11:29PM] Sender: Cheung, Message: And & **	
[4/16/23 11:30PM] Sender: Slayer, Message: Buy inf prayer pot	
[4/16/23 11:31PM] Sender: Cheung, Message: Where ars slayer masters?	
[4/16/23 11:31PM] Sender: Dopamine, Message: Click slayer skill	
[4/16/23 11:34PM] Sender: Beef supreme, Message: Lol 7.5k kc on zorbak and still no helm	
[4/16/23 11:34PM] Sender: Slayer, Message: Damn o.o	
[4/16/23 11:34PM] Sender: Beef supreme, Message: More like 2.3k i guess since i got kill booster	
[4/16/23 11:34PM] Sender: Slayer, Message: Gz	
[4/16/23 11:35PM] Sender: Beef supreme, Message: But still xd	
[4/16/23 11:35PM] Sender: Arthas, Message: My dr is so fuckin low	
[4/16/23 11:35PM] Sender: Asquad, Message: Can anyone give me a wep	
[4/16/23 11:35PM] Sender: Arthas, Message: 5%	
[4/16/23 11:35PM] Sender: Asquad, Message: Couldnt get my refferal wep	
[4/16/23 11:35PM] Sender: Beef supreme, Message: Referral doesn't give a wep, gives some pots =p	
[4/16/23 11:35PM] Sender: Don chapo, Message: Any way to upg pots from t1 all the way to t3 ?	
[4/16/23 11:35PM] Sender: Slayer, Message: Lol first hard task is sasukes	
[4/16/23 11:36PM] Sender: Dopamine, Message: It gives 2 blessed boxes thatyou get weps from	
[4/16/23 11:36PM] Sender: Dopamine, Message: Or imperial	
[4/16/23 11:36PM] Sender: Tazm94, Message: What is refer code?	
[4/16/23 11:36PM] Sender: Dopamine, Message: Walkchaos	
[4/16/23 11:36PM] Sender: A fatality, Message: ::ref walkchaos	
[4/16/23 11:36PM] Sender: Tazm94, Message: Ty	
[4/16/23 11:36PM] Sender: Loopus, Message: Where to get pickaxe for ::afk?	
[4/16/23 11:36PM] Sender: Slayer, Message: South of home	
[4/16/23 11:36PM] Sender: Dopamine, Message: Bnrother jared	
[4/16/23 11:36PM] Sender: Dopamine, Message: At home	
[4/16/23 11:36PM] Sender: A fatality, Message: Home -> pray alter -> brother jared	
[4/16/23 11:39PM] Sender: Tazm94, Message: Anything worth donating for?	
[4/16/23 11:39PM] Sender: Beef supreme, Message: Meh that works	
[4/16/23 11:39PM] Sender: Kebintea, Message: Whats global order again	
[4/16/23 11:39PM] Sender: Beef supreme, Message: Done with zorbak forever. never gave me the goods	
[4/16/23 11:39PM] Sender: Slayer, Message: Beigar nine meruem	
[4/16/23 11:39PM] Sender: Beef supreme, Message: Finished coll log tho	
[4/16/23 11:39PM] Sender: A fatality, Message: :: veigar - ::ninetails -- ::meruem	
[4/16/23 11:39PM] Sender: Beef supreme, Message: So on to the next one! 	
[4/16/23 11:40PM] Sender: Kebintea, Message: Thnx	
[4/16/23 11:40PM] Sender: Tazm94, Message: When you all donated what did you dono for?	
[4/16/23 11:40PM] Sender: Beef supreme, Message: Headed off for the night after these bosses tho =p	
[4/16/23 11:40PM] Sender: A fatality, Message: I would wait for a flash deal	
[4/16/23 11:40PM] Sender: A fatality, Message: When alex is on	
[4/16/23 11:40PM] Sender: Tazm94, Message: Got it thank you	
[4/16/23 11:44PM] Sender: Immortal, Message: Ok brb i buy x2 dmg	
[4/16/23 11:45PM] Sender: Immortal, Message: Welcome!	
[4/16/23 11:45PM] Sender: Immortal, Message: We @ ::veigar then ::ninetails	
[4/16/23 11:45PM] Sender: Kebintea, Message: Welcome	
[4/16/23 11:45PM] Sender: Immortal, Message: Do ::ref walkchaos	
[4/16/23 11:46PM] Sender: Immortal, Message: ::ninetails 	
[4/16/23 11:46PM] Sender: Slayer, Message: Gzf?	
[4/16/23 11:48PM] Sender: Arthas, Message: What da 3rd wb	
[4/16/23 11:48PM] Sender: Slayer, Message: ;;meruem	
[4/16/23 11:48PM] Sender: A fatality, Message: Meruem	
[4/16/23 11:48PM] Sender: Immortal, Message: ::meruem	
[4/16/23 11:50PM] Sender: Cheung, Message: Stats go to 99 or higher?	
[4/16/23 11:50PM] Sender: Immortal, Message: 120	
[4/16/23 11:50PM] Sender: Cheung, Message: Ewww ok	
[4/16/23 11:50PM] Sender: Tazm94, Message: This gonna take me forever.... lol	
[4/16/23 11:50PM] Sender: Slayer, Message: We op here xd	
[4/16/23 11:52PM] Sender: Erikenzo, Message: Sup all	
[4/16/23 11:52PM] Sender: Kebintea, Message: Hi	
[4/16/23 11:53PM] Sender: Cheung, Message: Buying bonds and votes	
[4/16/23 11:53PM] Sender: Fe, Message: The ult aura is purple?	
[4/16/23 11:54PM] Sender: Erikenzo, Message: Idk	
[4/16/23 11:54PM] Sender: Erikenzo, Message: What do you aim guys to buy from slayer shop?	
[4/16/23 11:54PM] Sender: A fatality, Message: Probably infinite ovl if u dont have already	
[4/16/23 11:54PM] Sender: Don chapo, Message: Why they last only 1minute tho	
[4/16/23 11:55PM] Sender: A fatality, Message: Its like 50% extra dps tho	
[4/16/23 11:55PM] Sender: Erikenzo, Message: From ovl?	
[4/16/23 11:55PM] Sender: A fatality, Message: Yeah its a significant boost	
[4/16/23 11:56PM] Sender: Nervus, Message: Hows it boys	
[4/16/23 11:56PM] Sender: Erikenzo, Message: Hmm, what does last slayer master have to offer :d?	
[4/16/23 11:56PM] Sender: A fatality, Message: Same thing but t2 instead of t1 :	
[4/16/23 11:56PM] Sender: Erikenzo, Message: Grinding on doomwatchers with bad luck :(	
[4/16/23 11:56PM] Sender: Slayer, Message: Sup nervus	
[4/16/23 11:56PM] Sender: Supernum, Message: Boss or hard?	
[4/16/23 11:56PM] Sender: Nervus, Message: Hows things today	
[4/16/23 11:56PM] Sender: Don chapo, Message: I can tell u if u want	
[4/16/23 11:57PM] Sender: Supernum, Message: Boss store is decent	
[4/16/23 11:57PM] Sender: Slayer, Message: Hard slay boss gave me  sasuke first task lol	
[4/16/23 11:57PM] Sender: Erikenzo, Message: Hard slayer?	
[4/16/23 11:57PM] Sender: Don chapo, Message: T4 helm , coll ring i, aura t3 . coll attach	
[4/16/23 11:57PM] Sender: Slayer, Message: What level for boss tasks?	
[4/16/23 11:57PM] Sender: Erikenzo, Message: Medium for first gave me doomwatchers... 	
[4/16/23 11:57PM] Sender: Don chapo, Message:  transfer crystals , dr/dmg scrolls n pets	
[4/16/23 11:57PM] Sender: Erikenzo, Message: It takes minute to kill one	
[4/16/23 11:57PM] Sender: Slayer, Message: Oof lol	
[4/16/23 11:57PM] Sender: Rks, Message: Roflol 	
[4/16/23 11:58PM] Sender: Don chapo, Message: Wait till uget to boss slayer lul	
[4/16/23 11:58PM] Sender: Slayer, Message: Wb rks	
[4/16/23 11:58PM] Sender: Rks, Message: Ty guys	
[4/16/23 11:58PM] Sender: Rks, Message: Ok my rng is good	
[4/16/23 11:58PM] Sender: Erikenzo, Message: I am weteran, that will not happen soon :d	
[4/16/23 11:58PM] Sender: Isyutaru, Message: Rks , you selling those?	
[4/16/23 11:58PM] Sender: Rks, Message: Nope 	
[4/16/23 11:58PM] Sender: Rks, Message: I dissolve all xd	
[4/16/23 11:58PM] Sender: Slayer, Message: ;o	
[4/16/23 11:58PM] Sender: Kebintea, Message: Is coll neck/ring/amy easy to get?	
[4/16/23 11:58PM] Sender: A fatality, Message: Yeah pretty easy do ::collection	
[4/16/23 11:58PM] Sender: Isyutaru, Message: Next time keep one for me :p	
[4/16/23 11:58PM] Sender: Slayer, Message: Kinqrux collection log for neck	
[4/16/23 11:58PM] Sender: Kebintea, Message: Ty	
[4/17/23 12:00AM] Sender: Cheung, Message: Buying bonds and votes	
[4/17/23 12:01AM] Sender: Rks, Message: How are ya'll today	
[4/17/23 12:01AM] Sender: Slayer, Message: Good good grinding	
[4/17/23 12:02AM] Sender: Dopamine, Message: Daily dose of useless dopamine	
[4/17/23 12:02AM] Sender: Kebintea, Message: Real	
[4/17/23 12:02AM] Sender: Erikenzo, Message: You are doing  skillin, yea? @slayer	
[4/17/23 12:02AM] Sender: Cheung, Message: Is there any aoe on here?	
[4/17/23 12:02AM] Sender: Slayer, Message: Naw slayer is doing slayer :p	
[4/17/23 12:02AM] Sender: Dopamine, Message: Yes t14+ weps	
[4/17/23 12:02AM] Sender: A fatality, Message: Yeah super hard to get th	
[4/17/23 12:02AM] Sender: Dopamine, Message: Has lottery chances to be aoe	
[4/17/23 12:02AM] Sender: Rks, Message: Aoe is ez to get 	
[4/17/23 12:02AM] Sender: Erikenzo, Message: Do you guys do zone by zone or just slayer?	
[4/17/23 12:03AM] Sender: Erikenzo, Message: Gets hard to kill medium tasks	
[4/17/23 12:03AM] Sender: Slayer, Message: I done abit of both for achi/logs	
[4/17/23 12:03AM] Sender: Dopamine, Message: If you do slayer make sure you have both range and mage styles	
[4/17/23 12:03AM] Sender: Rks, Message: Grinding 100s of hours 	
[4/17/23 12:03AM] Sender: Dopamine, Message: Because some of em have prot prayers	
[4/17/23 12:03AM] Sender: Rks, Message: Nothing hard about that	
[4/17/23 12:03AM] Sender: Rks, Message: Takes a while	
[4/17/23 12:03AM] Sender: Slayer, Message: Early on aim for achi boxes	
[4/17/23 12:03AM] Sender: Dopamine, Message: Uim is so hard here with all the incrediences n shit needed	
[4/17/23 12:03AM] Sender: Dopamine, Message: No looting bag neither	
[4/17/23 12:04AM] Sender: Rks, Message: All the what 	
[4/17/23 12:04AM] Sender: Dopamine, Message: Errything i need to carry n collect for bis's	
[4/17/23 12:04AM] Sender: Slayer, Message: Ugh need 76 crafting lol	
[4/17/23 12:05AM] Sender: Nervus, Message: Veigar 3m	
[4/17/23 12:05AM] Sender: Slayer, Message: ;;totem	
[4/17/23 12:05AM] Sender: Dopamine, Message: Thanks for heads up nervus, was just bout to go n spark	
[4/17/23 12:05AM] Sender: Slayer, Message: Tyty	
[4/17/23 12:06AM] Sender: Nervus, Message: Npnp	
[4/17/23 12:09AM] Sender: Asquad, Message: Can anyone help me with a wep to train 	
[4/17/23 12:09AM] Sender: Dopamine, Message: Veigar cooking me up wid that ovl pot	
[4/17/23 12:09AM] Sender: Dopamine, Message: Asquad	
[4/17/23 12:09AM] Sender: Dopamine, Message: Do ::ref - walkchaos	
[4/17/23 12:09AM] Sender: Asquad, Message: I did ref alex when i joined	
[4/17/23 12:09AM] Sender: Don chapo, Message: Would be nice if u would grind like everyone else, js	
[4/17/23 12:09AM] Sender: Asquad, Message: Didnt get anything	
[4/17/23 12:09AM] Sender: Asquad, Message: Now i try again says i already did a reffer	
[4/17/23 12:09AM] Sender: Asquad, Message: But i didnt get anything	
[4/17/23 12:09AM] Sender: Ruthie, Message: Asquad  whats up	
[4/17/23 12:09AM] Sender: Slayer, Message: Come world boss	
[4/17/23 12:10AM] Sender: Hc don, Message: Had same isue	
[4/17/23 12:10AM] Sender: Slayer, Message: You can get some gp to buy some early gear	
[4/17/23 12:10AM] Sender: Ruthie, Message: How u killing golden?	
[4/17/23 12:10AM] Sender: Ruthie, Message: @rks	
[4/17/23 12:10AM] Sender: Rks, Message: With my weapon ruthie	
[4/17/23 12:11AM] Sender: Jroc, Message: Buying votes 22k each	
[4/17/23 12:12AM] Sender: Loopus, Message: 22k regular or 22k b?	
[4/17/23 12:12AM] Sender: Jroc, Message: Like 22k red tokens	
[4/17/23 12:12AM] Sender: Rks, Message: Regular are worthless, reds are the currency 	
[4/17/23 12:12AM] Sender: Loopus, Message: Lol so wy even hav em in game xd but i got ya	
[4/17/23 12:12AM] Sender: A fatality, Message: It's the same currency just in lower incriments for npc drops	
[4/17/23 12:12AM] Sender: A fatality, Message: Then you convert it	
[4/17/23 12:12AM] Sender: Dopamine, Message: It feels more rewarding to get 6k millions than 6x bills.	
[4/17/23 12:12AM] Sender: Cheung, Message: All to veigar.. this is sad :p	
[4/17/23 12:12AM] Sender: Dopamine, Message: : - [)	
[4/17/23 12:13AM] Sender: Slayer, Message: Need op people at veigar	
[4/17/23 12:13AM] Sender: Ruthie, Message: Need dps at ::veigar	
[4/17/23 12:16AM] Sender: Ruthie, Message: Rks come g	
[4/17/23 12:16AM] Sender: Rks, Message: Because i need 4 ranger rings ffs 	
[4/17/23 12:16AM] Sender: Cheung, Message: Somoene paying 22k ea @ jroc :x	
[4/17/23 12:16AM] Sender: Rks, Message: Not gonna waste 1 hour	
[4/17/23 12:16AM] Sender: Rks, Message: For bones there 	
[4/17/23 12:16AM] Sender: Slayer, Message: Same task rip lol	
[4/17/23 12:17AM] Sender: Slayer, Message: What anchor do rks	
[4/17/23 12:18AM] Sender: Rks, Message: Special attack gives you increased stats	
[4/17/23 12:18AM] Sender: Slayer, Message: Ah ty	
[4/17/23 12:18AM] Sender: Rks, Message: Ruthie acting like he staff on here	
[4/17/23 12:18AM] Sender: Rks, Message:  xd asking my how i'm going this fast 	
[4/17/23 12:19AM] Sender: Ruthie, Message: ?	
[4/17/23 12:19AM] Sender: Ruthie, Message: What i do?	
[4/17/23 12:19AM] Sender: Slayer, Message: Ruthie want them tips and tricks xd	
[4/17/23 12:19AM] Sender: Rks, Message: I'm rushing zones atm 	
[4/17/23 12:19AM] Sender: Rks, Message: With kc items 	
[4/17/23 12:19AM] Sender: Slayer, Message: Ahh ic	
[4/17/23 12:19AM] Sender: Rks, Message: So i'm almost done with luffy 	
[4/17/23 12:19AM] Sender: Kebintea, Message: Are u guys dissolving all ur trash drops?	
[4/17/23 12:19AM] Sender: Slayer, Message: Yes	
[4/17/23 12:20AM] Sender: Kebintea, Message: Ty	
[4/17/23 12:20AM] Sender: Slayer, Message: Unless new players need	
[4/17/23 12:20AM] Sender: Kebintea, Message: Hi im new	
[4/17/23 12:20AM] Sender: Kebintea, Message: Jk np	
[4/17/23 12:20AM] Sender: Slayer, Message: Lol hi xd	
[4/17/23 12:20AM] Sender: Kebintea, Message: :3	
[4/17/23 12:20AM] Sender: Rks, Message: I'm new	
[4/17/23 12:20AM] Sender: Rks, Message: Can i have aoe weapon please	
[4/17/23 12:20AM] Sender: Slayer, Message: Yes	
[4/17/23 12:20AM] Sender: Slayer, Message: Just 10k+ more kills	
[4/17/23 12:21AM] Sender: Rks, Message: You know the best place to get aoe weapon	
[4/17/23 12:21AM] Sender: Ceo of rng, Message: I cba with this zinq log	
[4/17/23 12:21AM] Sender: Rks, Message: Would be zorbak	
[4/17/23 12:21AM] Sender: Ceo of rng, Message: 7helms 4 body 1 boots	
[4/17/23 12:21AM] Sender: Kebintea, Message: Oof	
[4/17/23 12:21AM] Sender: Rks, Message: Has 4 items in coll log, 1 is weapon	
[4/17/23 12:21AM] Sender: Rks, Message: So 25% to get weapon 	
[4/17/23 12:21AM] Sender: Rks, Message: So if my calculations are right 	
[4/17/23 12:21AM] Sender: Ceo of rng, Message: Not 7 fucking helms tho	
[4/17/23 12:21AM] Sender: Kebintea, Message: 50/50 to get anything....	
[4/17/23 12:22AM] Sender: Rks, Message: It would take 123712897398123 zorbak to get aoe 	
[4/17/23 12:22AM] Sender: Slayer, Message: O.o	
[4/17/23 12:22AM] Sender: Erikenzo, Message: I think more	
[4/17/23 12:22AM] Sender: Rks, Message: But seriously highest chance to get a weapon there 	
[4/17/23 12:22AM] Sender: Rks, Message: 25% 	
[4/17/23 12:22AM] Sender: Rks, Message: So 3% to get red rarity 	
[4/17/23 12:23AM] Sender: Rks, Message: Average 300 weapon drops to get yourself a aoe staff 	
[4/17/23 12:23AM] Sender: Kebintea, Message: Welcome	
[4/17/23 12:23AM] Sender: Jroc, Message: Welcome	
[4/17/23 12:23AM] Sender: Rks, Message: Whalecum	
[4/17/23 12:23AM] Sender: Lewa, Message: Thanls	
[4/17/23 12:23AM] Sender: Slayer, Message: Anyone got hooker pet	
[4/17/23 12:24AM] Sender: Rks, Message: Alex but he sleeping 	
[4/17/23 12:24AM] Sender: Rks, Message: He's my hooker pet	
[4/17/23 12:24AM] Sender: Slayer, Message: Lele	
[4/17/23 12:24AM] Sender: Rks, Message: Luffy log done :d	
[4/17/23 12:24AM] Sender: Rks, Message: Fkng hell rng on point today	
[4/17/23 12:24AM] Sender: Slayer, Message: W	
[4/17/23 12:24AM] Sender: Rks, Message: Broly time 	
[4/17/23 12:25AM] Sender: Sir dope, Message: Tyty	
[4/17/23 12:26AM] Sender: Kebintea, Message: Welcome	
[4/17/23 12:26AM] Sender: Sir dope, Message: Tryty	
[4/17/23 12:26AM] Sender: Slayer, Message: 00f	
[4/17/23 12:26AM] Sender: Slayer, Message: Ill buy it noo	
[4/17/23 12:26AM] Sender: Rks, Message: 1.3x dmg 	
[4/17/23 12:26AM] Sender: Slayer, Message: Damn didnt know it could be perked lol	
[4/17/23 12:27AM] Sender: Plebo, Message: Best thing to buy with slay tickets?	
[4/17/23 12:27AM] Sender: Rks, Message: Slayers acc 	
[4/17/23 12:27AM] Sender: Dopamine, Message: Girlfriend	
[4/17/23 12:27AM] Sender: Matt0804, Message: Drop them?	
[4/17/23 12:27AM] Sender: Rks, Message: 1b slayer tickets for slayers acc	
[4/17/23 12:27AM] Sender: Slayer, Message: Prayer pots/pets/upgrade stones	
[4/17/23 12:27AM] Sender: Slayer, Message: Nuuu	
[4/17/23 12:28AM] Sender: Rks, Message: Omfg 	
[4/17/23 12:28AM] Sender: Slayer, Message: Nfs	
[4/17/23 12:28AM] Sender: Slayer, Message: :p	
[4/17/23 12:28AM] Sender: Rks, Message: Someone gonna report me for spoon rng 	
[4/17/23 12:28AM] Sender: Plebo, Message: In which shop is ac?	
[4/17/23 12:28AM] Sender: Slayer, Message: Kk stop it your rng	
[4/17/23 12:28AM] Sender: Slayer, Message: 2 items on log u just got there	
[4/17/23 12:28AM] Sender: Rks, Message: I already got 348kc xd 	
[4/17/23 12:28AM] Sender: Slayer, Message: O.o	
[4/17/23 12:29AM] Sender: Rks, Message: 1hitting them 	
[4/17/23 12:29AM] Sender: Slayer, Message: Damn	
[4/17/23 12:29AM] Sender: Rks, Message: Come look how i kill them xd 	
[4/17/23 12:29AM] Sender: Slayer, Message: Triple kc?	
[4/17/23 12:29AM] Sender: Rks, Message: I have aoe 	
[4/17/23 12:29AM] Sender: Slapme2sleep, Message: Hiiii	
[4/17/23 12:29AM] Sender: Slapme2sleep, Message: Free donor?	
[4/17/23 12:29AM] Sender: Dopamine, Message: No but ::ref - walkchaos	
[4/17/23 12:31AM] Sender: Kebintea, Message: Welcome	
[4/17/23 12:32AM] Sender: Ruthie, Message: Welcome	
[4/17/23 12:35AM] Sender: Cheung, Message: Lmfao in 4mins xd	
[4/17/23 12:36AM] Sender: Rks, Message: When you get 3 bowser drops	
[4/17/23 12:37AM] Sender: Rks, Message: All non rarity normall items	
[4/17/23 12:37AM] Sender: Rks, Message: Painfull af	
[4/17/23 12:39AM] Sender: Ruthie, Message: Golden up 	
[4/17/23 12:39AM] Sender: Ruthie, Message: All of e are	
[4/17/23 12:39AM] Sender: Professor, Message: What or der	
[4/17/23 12:40AM] Sender: Professor, Message: Veigar,nine,golden?	
[4/17/23 12:40AM] Sender: Mysterious, Message: Come to nine	
[4/17/23 12:40AM] Sender: Atz, Message: There is alot at nine	
[4/17/23 12:40AM] Sender: Atz, Message: How we do that	
[4/17/23 12:40AM] Sender: Dopamine, Message:  ::ninetails - ::golden - ::veigar	
